Year,Replication #,Replication #,DSA 1,DSA 2,DSA 3,DSA 4,DSA 5,DSA 6,DSA 7,DSA 8,DSA 9,DSA 10,DSA 11,DSA 12,DSA 13,DSA 14,DSA 15,DSA 16,DSA 17,DSA 18,DSA 19,DSA 20,DSA 21,DSA 22,DSA 23,DSA 24,DSA 25,DSA 26,DSA 27,DSA 28,DSA 29,DSA 30,DSA 31,DSA 32,DSA 33,DSA 34,DSA 35,DSA 36,DSA 37,DSA 38,DSA 39,DSA 40,DSA 41,DSA 42,DSA 43,DSA 44,DSA 45,DSA 46,DSA 47,DSA 48,DSA 49,DSA 50,DSA 51,DSA 52,DSA 53,DSA 54,DSA 55,DSA 56,DSA 57,DSA 58
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,11.0,3.0,30.0,128.0,1.0,115.0,32.0,41.0,4.0,23.0,3.0,17.0,11.0,5.0,15.0,3.0,4.0,45.0,12.0,13.0,19.0,77.0,49.0,39.0,43.0,17.0,0.0,9.0,9.0,33.0,22.0,15.0,0.0,0.0,0.0,36.0,144.0,0.0,21.0,0.0,3.0,22.0,16.0,9.0,56.0,44.0,0.0,4.0,9.0,4.0,72.0,63.0,48.0,14.0,37.0,23.0,5.0,10.0
